Date,SandP_Adj_Close,DJI_Adj_Close
2/9/23,4109.76,33870.12
2/8/23,4117.86,33949.01
2/7/23,4164,34156.69
2/6/23,4111.08,33891.02
2/3/23,4136.48,33926.01
2/2/23,4179.76,34053.94
2/1/23,4119.21,34092.96
1/31/23,4076.6,34086.04
1/30/23,4017.77,33717.09
1/27/23,4070.56,33978.08
1/26/23,4060.43,33949.41
1/25/23,4016.22,33743.84
1/24/23,4016.95,33733.96
1/23/23,4019.81,33629.56
1/20/23,3972.61,33375.49
1/19/23,3898.85,33044.56
1/18/23,3928.86,33296.96
1/17/23,3990.97,33910.85
1/13/23,3999.09,34302.61
1/12/23,3983.17,34189.97
1/11/23,3969.61,33973.01
1/10/23,3919.25,33704.1
1/9/23,3892.09,33517.65
1/6/23,3895.08,33630.61
1/5/23,3808.1,32930.08
1/4/23,3852.97,33269.77
1/3/23,3824.14,33136.37
12/30/22,3839.5,33147.25
12/29/22,3849.28,33220.8
12/28/22,3783.22,32875.71
12/27/22,3829.25,33241.56
12/23/22,3844.82,33203.93
12/22/22,3822.39,33027.49
12/21/22,3878.44,33376.48
12/20/22,3821.62,32849.74
12/19/22,3817.66,32757.54
12/16/22,3852.36,32920.46
12/15/22,3895.75,33202.22
12/14/22,3995.32,33966.35
12/13/22,4019.65,34108.64
12/12/22,3990.56,34005.04
12/9/22,3934.38,33476.46
12/8/22,3963.51,33781.48
12/7/22,3933.92,33597.92
12/6/22,3941.26,33596.34
12/5/22,3998.84,33947.1
12/2/22,4071.7,34429.88
12/1/22,4076.57,34395.01
11/30/22,4080.11,34589.77
11/29/22,3957.63,33852.53
11/28/22,3963.94,33849.46
11/25/22,4026.12,34347.03
11/23/22,4027.26,34194.06
11/22/22,4003.58,34098.1
11/21/22,3949.94,33700.28
11/18/22,3965.34,33745.69
11/17/22,3946.56,33546.32
11/16/22,3958.79,33553.83
11/15/22,3991.73,33592.92
11/14/22,3957.25,33536.7
11/11/22,3992.93,33747.86
11/10/22,3956.37,33715.37
11/9/22,3748.57,32513.94
11/8/22,3828.11,33160.83
11/7/22,3806.8,32827
11/4/22,3770.55,32403.22
11/3/22,3719.89,32001.25
11/2/22,3759.69,32147.76
11/1/22,3856.1,32653.2
10/31/22,3871.98,32732.95
10/28/22,3901.06,32861.8
10/27/22,3807.3,32033.28
10/26/22,3830.6,31839.11
10/25/22,3859.11,31836.74
10/24/22,3797.34,31499.62
10/21/22,3752.75,31082.56
10/20/22,3665.78,30333.59
10/19/22,3695.16,30423.81
