Date,SandP_Adj_Close_pct_change,DJI_Adj_Close_pct_change
2/10/22,-1.811570507,-1.47189979
2/11/22,-1.896946768,-1.428794785
2/14/22,-0.384054822,-0.4948175
2/15/22,1.576674308,1.222785168
2/16/22,0.088122083,-0.155964016
2/17/22,-2.117313704,-1.781173615
2/18/22,-0.716624127,-0.67862496
2/22/22,-1.01428647,-1.416025855
2/23/22,-1.841217629,-1.38362174
2/24/22,1.495680984,0.277890459
2/25/22,2.237274699,2.513015507
2/28/22,-0.24426123,-0.487833523
3/1/22,-1.547346328,-1.763364274
3/2/22,1.864262724,1.791262639
3/3/22,-0.5254711,-0.285294035
3/4/22,-0.793401612,-0.532214261
3/7/22,-2.951809595,-2.372228899
3/8/22,-0.723383693,-0.562933421
3/9/22,2.569832402,2.002933259
3/10/22,-0.429184549,-0.337016035
3/11/22,-1.296155435,-0.69295085
3/14/22,-0.742095611,0.003187208
3/15/22,2.140849391,1.818472107
3/16/22,2.238384028,1.546490406
3/17/22,1.234780374,1.2261362
3/18/22,1.166225035,0.795139086
3/21/22,-0.04346735,-0.58103987
3/22/22,1.130418409,0.736463038
3/23/22,-1.227278067,-1.289838443
3/24/22,1.434393121,1.017040907
3/25/22,0.506619235,0.441685678
3/28/22,0.714496397,0.271504972
3/29/22,1.225653041,0.967791122
3/30/22,-0.629372139,-0.185242954
3/31/22,-1.565253289,-1.562527942
4/1/22,0.341028737,0.403479404
4/4/22,0.809087829,0.297573659
4/5/22,-1.255171691,-0.803794068
4/6/22,-0.971686939,-0.417624342
4/7/22,0.425337246,0.252373356
4/8/22,-0.26509874,0.397732218
4/11/22,-1.68772893,-1.189592962
4/12/22,-0.34175405,-0.255683209
4/13/22,1.117465804,1.005921621
4/14/22,-1.214413742,-0.327965701
4/18/22,-0.020489051,-0.114770939
4/19/22,1.605759969,1.451570673
4/20/22,-0.061852759,0.714928161
4/21/22,-1.475294039,-1.04670572
4/22/22,-2.773997078,-2.820586812
4/25/22,0.569785897,0.704082055
4/26/22,-2.814632738,-2.376777781
4/27/22,0.209810308,0.18576915
4/28/22,2.474689051,1.845118286
4/29/22,-3.62845481,-2.769103669
5/2/22,0.567531396,0.255600762
5/3/22,0.483710274,0.203529785
5/4/22,2.986243498,2.814078027
5/5/22,-3.564975338,-3.121130112
5/6/22,-0.567415906,-0.29880626
5/9/22,-3.203713494,-1.986876952
5/10/22,0.245788276,-0.263476991
5/11/22,-1.646317842,-1.015617178
5/12/22,-0.129600171,-0.326096756
5/13/22,2.386974311,1.469762341
5/16/22,-0.394642995,0.083114211
5/17/22,2.016961036,1.338064054
5/18/22,-4.039522115,-3.566175536
5/19/22,-0.583380908,-0.75242767
5/20/22,0.014612425,0.028061189
5/23/22,1.855506798,1.977934802
5/24/22,-0.81207927,0.151755445
5/25/22,0.945076469,0.600276492
5/26/22,1.988322907,1.609294813
5/27/22,2.474222739,1.764153103
5/31/22,-0.627428912,-0.670942909
6/1/22,-0.748278741,-0.536190835
6/2/22,1.843105605,1.32583717
6/3/22,-1.634736474,-1.048415136
6/6/22,0.313736753,0.048875826
6/7/22,0.952339358,0.803140621
6/8/22,-1.079390869,-0.811449259
6/9/22,-2.379870595,-1.938901701
6/10/22,-2.911031355,-2.726755263
6/13/22,-3.876837415,-2.790608926
6/14/22,-0.377370567,-0.497792359
6/15/22,1.459250217,1.000170263
6/16/22,-3.251195913,-2.417657449
6/17/22,0.220084707,-0.127944366
6/21/22,2.447725615,2.146189975
6/22/22,-0.130153342,-0.15433873
6/23/22,0.953219376,0.637172101
6/24/22,3.056329086,2.6838033
6/27/22,-0.297310148,-0.198154453
6/28/22,-2.014302161,-1.562650096
6/29/22,-0.071175308,0.266003253
6/30/22,-0.87592273,-0.818194153
7/1/22,1.055376211,1.04573681
7/5/22,0.158417705,-0.41624246
7/6/22,0.357311576,0.225589015
7/7/22,1.496457811,1.117577087
7/8/22,-0.08302115,-0.147843445
7/11/22,-1.15274736,-0.524313018
7/12/22,-0.924390896,-0.617537012
7/13/22,-0.445689745,-0.673115066
7/14/22,-0.299859539,-0.463461389
7/15/22,1.920124104,2.148502604
7/18/22,-0.836361942,-0.689236154
7/19/22,2.762833314,2.427990439
7/20/22,0.589581603,0.150155292
7/21/22,0.986136014,0.508426082
7/22/22,-0.933244977,-0.429535941
7/25/22,0.131511524,0.284489091
