Year,Month,Day,Return_t,Return_day_before
2012,7,26,0.99857306,0.99676098
2012,7,27,0.99961963,0.99857306
2012,7,30,0.99838602,0.99961963
2012,7,31,1.00180711,0.99838602
2012,8,1,0.99781722,1.00180711
2012,8,2,0.99602987,0.99781722
2012,8,3,1.00113561,0.99602987
2012,8,6,1.00475421,1.00113561
2012,8,7,1.00104702,1.00475421
2012,8,8,1.00219403,1.00104702
2012,8,9,1.00047719,1.00219403
2012,8,10,1.00402453,1.00047719
2012,8,13,1.00307574,1.00402453
2012,8,14,1.00154024,1.00307574
2012,8,15,1.00212232,1.00154024
2012,8,16,1.00631007,1.00212232
2012,8,17,0.99815891,1.00631007
2012,8,20,0.99527438,0.99815891
2012,8,21,0.99606148,0.99527438
2012,8,22,1.00356695,0.99606148
2012,8,23,1.00513566,1.00356695
2012,8,24,1.0049664,1.00513566
2012,8,27,1.00165821,1.0049664
2012,8,28,1.00146527,1.00165821
2012,8,29,1.00284091,1.00146527
2012,8,30,1.00255353,1.00284091
2012,8,31,1.00821864,1.00255353
2012,9,3,1.00218319,1.00821864
2012,9,4,0.99841474,1.00218319
2012,9,5,0.99910909,0.99841474
2012,9,6,0.99458502,0.99910909
2012,9,7,1.00564356,0.99458502
2012,9,10,0.99507389,1.00564356
2012,9,11,0.99383139,0.99507389
2012,9,12,1.00029383,0.99383139
2012,9,13,0.99648643,1.00029383
2012,9,14,1.00362425,0.99648643
2012,9,17,1.00245483,1.00362425
2012,9,18,0.99755118,1.00245483
2012,9,19,1.00166797,0.99755118
2012,9,20,0.99853042,1.00166797
2012,9,21,1.00088253,0.99853042
2012,9,24,1.00127639,1.00088253
2012,9,25,0.99686797,1.00127639
2012,9,26,0.9980463,0.99686797
2012,9,27,1.00303743,0.9980463
2012,9,28,1.00304668,1.00303743
2012,10,1,1.00742574,1.00304668
2012,10,2,1.00148736,1.00742574
2012,10,3,1.00478231,1.00148736
2012,10,4,1.00712422,1.00478231
2012,10,5,1.00140675,1.00712422
2012,10,8,0.99719439,1.00140675
2012,10,9,0.99362804,0.99719439
2012,10,10,1.00029878,0.99362804
2012,10,11,1.00149611,1.00029878
2012,10,12,0.99751269,1.00149611
2012,10,15,0.99180975,0.99751269
2012,10,16,0.99842365,0.99180975
2012,10,17,0.99412341,0.99842365
2012,10,18,0.99522371,0.99412341
2012,10,19,1.00234489,0.99522371
2012,10,22,1.00510655,1.00234489
2012,10,23,0.99008264,1.00510655
2012,10,24,0.99951409,0.99008264
2012,10,25,0.99545323,0.99951409
2012,10,26,0.99980656,0.99545323
2012,10,29,0.99864773,0.99980656
2012,10,30,0.99787952,0.99864773
2012,10,31,1.00115797,0.99787952
2012,11,1,1.0069964,1.00115797
2012,11,2,0.99680356,1.0069964
2012,11,5,0.99758431,0.99680356
2012,11,6,0.9976863,0.99758431
2012,11,7,0.99682875,0.9976863
2012,11,8,1.00067314,0.99682875
2012,11,9,0.99779313,1.00067314
2012,11,12,0.99693897,0.99779313
2012,11,13,1.00403381,0.99693897
2012,11,14,1.00706064,1.00403381
2012,11,15,0.99913027,1.00706064
2012,11,16,0.99778228,0.99913027
2012,11,19,1.00183539,0.99778228
2012,11,20,1.00232378,1.00183539
2012,11,21,0.99719996,1.00232378
2012,11,22,0.99768808,0.99719996
2012,11,23,0.99903763,0.99768808
2012,11,26,1.00067411,0.99903763
2012,11,27,0.99951872,1.00067411
2012,11,28,1.00367114,0.99951872
2012,11,29,0.9986493,1.00367114
2012,11,30,0.99980708,0.9986493
2012,12,3,0.99769031,0.99980708
2012,12,4,1.00231504,0.99769031
2012,12,5,0.9975943,1.00231504
2012,12,6,1.00289519,0.9975943
2012,12,7,1.00193386,1.00289519
2012,12,10,0.99653112,1.00193386
2012,12,11,0.99913353,0.99653112
2012,12,12,1.00221922,0.99913353
2012,12,13,0.99548554,1.00221922
2012,12,14,1.00376012,0.99548554
2012,12,17,0.99922929,1.00376012
2012,12,18,1.00202722,0.99922929
2012,12,19,1.00086957,1.00202722
2012,12,20,1.00232423,1.00086957
2012,12,21,1.00467017,1.00232423
2012,12,24,0.9965096,1.00467017
2012,12,26,0.99903138,0.9965096
2012,12,27,0.99874238,0.99903138
2012,12,28,0.9994199,0.99874238
2012,12,31,1.00009669,0.9994199
2013,1,2,1.0005805,1.00009669
2013,1,3,0.99941984,1.0005805
2013,1,4,0.999034,0.99941984
2013,1,7,0.9992278,0.999034
2013,1,8,0.99807322,0.9992278
2013,1,9,0.99654378,0.99807322
2013,1,10,1.00424219,0.99654378
2013,1,11,0.99836365,1.00424219
2013,1,14,0.9994228,0.99836365
2013,1,15,0.99760077,0.9994228
2013,1,16,1.00269438,0.99760077
2013,1,17,0.99750432,1.00269438
2013,1,18,0.99808392,0.99750432
2013,1,21,0.99637266,0.99808392
2013,1,22,0.99373933,0.99637266
2013,1,23,1.00630011,0.99373933
2013,1,24,0.99952295,1.00630011
2013,1,25,1.00028631,0.99952295
2013,1,28,0.99980916,1.00028631
2013,1,29,1.00517936,0.99980916
2013,1,30,1.0030787,1.00517936
2013,1,31,1.00260442,1.0030787
2013,2,1,0.9947227,1.00260442
2013,2,4,1.00802786,0.9947227
2013,2,5,1.00652259,1.00802786
2013,2,6,1.00146242,1.00652259
2013,2,7,0.99235681,1.00146242
2013,2,8,1.00339773,0.99235681
2013,2,11,0.99777218,1.00339773
2013,2,12,0.99403043,0.99777218
2013,2,13,1.00192938,0.99403043
2013,2,14,1,1.00192938
2013,2,15,0.99548641,1
2013,2,18,0.99446089,0.99548641
2013,2,19,1.00450883,0.99446089
2013,2,20,0.99913735,1.00450883
2013,2,21,0.99003606,0.99913735
2013,2,22,1.00142545,0.99003606
2013,2,25,1.00276348,1.00142545
2013,2,26,1.00257954,1.00276348
2013,2,27,0.99448931,1.00257954
2013,2,28,1.00506112,0.99448931
2013,3,1,1.00019102,1.00506112
2013,3,4,0.99411318,1.00019102
2013,3,5,0.99734848,0.99411318
2013,3,6,0.99933756,0.99734848
2013,3,7,1.00418132,0.99933756
2013,3,8,0.9983871,1.00418132
2013,3,11,0.99556059,0.9983871
2013,3,12,1.00037796,0.99556059
2013,3,13,0.99717328,1.00037796
2013,3,14,1.00047134,0.99717328
2013,3,15,0.99858797,1.00047134
2013,3,18,0.99755846,0.99858797
2013,3,19,1.00046975,0.99755846
2013,3,20,0.99551066,1.00046975
2013,3,21,1.00093615,0.99551066
2013,3,22,1.0003746,1.00093615
2013,3,25,1.00253497,1.0003746
2013,3,26,1.00358051,1.00253497
2013,3,27,1.00321391,1.00358051
2013,3,28,0.99905562,1.00321391
2013,3,29,0.99952803,0.99905562
2013,4,1,0.99933968,0.99952803
2013,4,2,0.99905758,0.99933968
2013,4,3,1.00425894,0.99905758
2013,4,4,1.00056818,1.00425894
2013,4,5,0.9978267,1.00056818
2013,4,8,0.99305621,0.9978267
2013,4,9,0.99681975,0.99305621
2013,4,10,1.00366128,0.99681975
2013,4,11,1.00084563,1.00366128
2013,4,12,1.00652544,1.00084563
2013,4,15,0.99688885,1.00652544
2013,4,16,1.00378537,0.99688885
2013,4,17,0.99990537,1.00378537
2013,4,18,1.00189609,0.99990537
2013,4,19,1.00132903,1.00189609
2013,4,22,1.0013308,1.00132903
2013,4,23,0.99838664,1.0013308
2013,4,24,1.00409758,0.99838664
2013,4,25,1.0052687,1.00409758
2013,4,26,0.9977062,1.0052687
2013,4,29,1.00191516,0.9977062
2013,4,30,1.00801158,1.00191516
2013,5,1,1.00086948,1.00801158
2013,5,2,0.99557565,1.00086948
2013,5,3,1.00746124,0.99557565
2013,5,6,1.00929095,1.00746124
2013,5,7,1.00254927,1.00929095
2013,5,8,1.00403623,1.00254927
2013,5,9,1.00365577,1.00403623
2013,5,10,1.00666401,1.00365577
2013,5,13,0.9989071,1.00666401
2013,5,14,1.0013929,0.9989071
2013,5,15,1.0055022,1.0013929
2013,5,16,0.99979996,1.0055022
2013,5,17,0.9956184,0.99979996
2013,5,20,0.99821074,0.9956184
2013,5,21,1.00079586,0.99821074
2013,5,22,1.00109551,1.00079586
2013,5,23,1.00924716,1.00109551
2013,5,24,0.99899588,1.00924716
2013,5,27,0.9963982,0.99899588
2013,5,28,1.00250752,0.9963982
2013,5,29,1.0022115,1.00250752
2013,5,30,1.0025194,1.0022115
2013,5,31,0.98854353,1.0025194
2013,6,3,1.00621492,0.98854353
2013,6,4,1.01104692,1.00621492
2013,6,5,1.00213285,1.01104692
2013,6,6,1.01735896,1.00213285
2013,6,7,1.00362958,1.01735896
2013,6,10,1.00426994,1.00362958
2013,6,11,0.99183969,1.00426994
2013,6,12,0.98916931,0.99183969
2013,6,13,1.00596156,0.98916931
2013,6,14,1.00072002,1.00596156
2013,6,17,1.00402768,1.00072002
2013,6,18,1.01456412,1.00402768
2013,6,19,0.99926709,1.01456412
2013,6,20,0.99138468,0.99926709
2013,6,21,0.99237742,0.99138468
2013,6,24,0.99732895,0.99237742
2013,6,25,1.00216205,0.99732895
2013,6,26,0.99979413,1.00216205
2013,6,27,1.01071577,0.99979413
2013,6,28,0.99154116,1.01071577
2013,7,1,1.00560166,0.99154116
2013,7,2,1.01016452,1.00560166
2013,7,3,0.9930281,1.01016452
2013,7,4,1.00302682,0.9930281
2013,7,5,0.99387967,1.00302682
2013,7,8,0.998343,0.99387967
2013,7,9,1.00646237,0.998343
2013,7,10,1.00766726,1.00646237
2013,7,11,1.01308789,1.00766726
2013,7,12,0.99103659,1.01308789
2013,7,15,0.98863636,0.99103659
2013,7,16,0.99823083,0.98863636
2013,7,17,1.00998528,0.99823083
2013,7,18,1.00084157,1.00998528
2013,7,19,0.99476769,1.00084157
2013,7,22,0.99958159,0.99476769
2013,7,23,1.01196147,0.99958159
2013,7,24,0.99421174,1.01196147
2013,7,25,0.9989487,0.99421174
2013,7,26,1.00688049,0.9989487
2013,7,29,1.01188946,1.00688049
2013,7,30,1.01159389,1.01188946
2013,7,31,0.99967504,1.01159389
2013,8,1,0.99837785,0.99967504
2013,8,2,0.99989187,0.99837785
2013,8,5,0.99227468,0.99989187
2013,8,6,0.99381531,0.99227468
2013,8,7,0.99776572,0.99381531
2013,8,8,0.99334179,0.99776572
2013,8,9,1.00392573,0.99334179
2013,8,12,1.00021225,1.00392573
2013,8,13,0.99915173,1.00021225
2013,8,14,1.00138034,0.99915173
2013,8,15,0.99251765,1.00138034
2013,8,16,1.00732484,0.99251765
2013,8,19,0.99968163,1.00732484
2013,8,20,1.00340752,0.99968163
2013,8,21,0.99176259,1.00340752
2013,8,22,1.0007398,0.99176259
2013,8,23,0.99820656,1.0007398
2013,8,26,1.00765387,0.99820656
2013,8,27,1.00362744,1.00765387
2013,8,28,0.99680953,1.00362744
2013,8,29,1.00341479,0.99680953
2013,8,30,0.99017329,1.00341479
